vertices,nanoseconds_sorted,nanoseconds_random,nanoseconds_inverted
9,14763,13176,15192
9,14798,10322,15465
9,14519,22688,15775
9,14792,16055,15160
9,14764,15290,15234
9,14684,15126,17391
9,14454,15562,15964
9,14998,14804,16864
9,14162,15355,15224
9,14129,15410,15417
9,15112,14971,15630
9,14720,15784,10559
9,9608,22954,10445
11,13258,15242,14999
11,12573,13962,14693
11,12632,14055,13783
11,12494,14049,14135
11,12476,13720,14169
11,12848,13550,14194
11,12447,14359,13700
11,12706,14335,13806
11,12463,13699,14029
11,12645,14272,14200
11,12667,13955,14444
11,12577,13995,14070
11,12486,13714,14498
11,12733,13659,13646
11,12598,13385,13898
11,12400,13641,13521
11,12517,14275,13663
11,12345,14064,14270
11,12309,14409,14032
11,12348,14526,14470
11,12494,13661,13858
11,12503,13874,14321
11,12671,14265,13905
11,19713,13361,20869
11,19735,21002,26228
11,18735,20042,13906
11,24124,13864,20093
11,19503,20138,20088
11,19404,21386,20824
11,19368,28470,21967
11,20818,21524,20513
11,20048,21086,22334
11,19257,20772,19929
11,19560,21013,20436
11,19761,20022,21551
11,19556,21166,19776
11,17519,20648,18884
11,17392,19635,30278
11,17752,20080,18869
11,25362,19069,47731
11,22172,25053,20228
11,20081,21573,20657
11,21113,22124,22077
11,21091,21306,19295
11,20959,18476,21550
11,19275,20541,21063
11,18065,23236,19254
11,19806,28241,19939
11,17277,20226,68358
11,27063,20854,19998
11,23180,20406,21328
11,19250,20740,21044
11,17761,25354,20814
11,19229,20175,21741
11,19600,22207,19894
11,19233,20830,19506
11,18925,21490,18576
11,19089,21361,19823
11,19604,20565,20622
11,19200,21831,21364
11,19478,21836,23268
11,19235,20413,21070
11,19780,21925,22717
11,19582,20901,20987
11,19160,20501,20926
11,19242,21452,19696
11,20279,24131,21269
11,20179,20556,20395
11,19645,21342,20734
11,19229,20470,20405
11,19255,20386,21530
11,19208,20316,19809
11,19532,21306,20355
11,19617,20855,21131
11,19665,21003,20727
11,18474,21129,22540
11,19383,20968,20516
11,19004,22109,20373
11,19567,22196,21157
11,17449,21328,19131
11,17618,22098,20515
11,19912,20415,22487
11,17828,19500,19710
11,18938,20050,20365
11,19061,20553,19978
11,19097,20837,19832
11,19677,21320,20928
11,20633,20866,19474
11,18852,19600,19288
11,18801,20128,19902
11,18709,19847,20242
11,19636,20950,19885
11,18102,19576,19838
11,19007,19756,22089
11,19452,21295,19843
11,18752,19724,19571
11,20292,22322,19259
11,19258,19879,19414
11,19040,20326,20477
11,18641,18910,19666
13,32756,35717,29578
13,16750,18544,18339
13,16267,18447,17894
13,16190,18528,18307
13,16083,17926,18286
13,15717,16925,17154
13,15592,17800,18409
13,16046,17761,16769
13,15609,17730,17883
13,15921,17844,18247
13,16003,17018,17344
13,15763,17771,17709
13,15728,18583,18202
13,15793,18040,18116
13,15897,18178,18102
13,15730,17634,18001
13,15694,18091,18140
13,15607,18179,18203
13,15653,17293,17783
13,15864,17817,17665
13,15673,18175,18308
13,15714,18318,18285
13,16054,17256,17713
13,15650,17004,17745
13,15915,17644,17961
13,15497,18206,17446
13,28834,59012,28386
13,24952,27118,25473
13,25552,25908,30844
13,25522,27517,25757
13,32696,30135,27310
13,25762,29720,29316
13,25518,27584,27121
13,27135,28560,28761
13,26589,28300,27910
13,26588,28126,27612
13,26035,27224,28186
13,52787,27880,31770
13,23796,25140,30066
13,26304,26843,28163
13,24260,26424,27371
13,24832,26190,24202
13,31773,26003,30412
13,25398,26245,27572
13,26078,27311,28195
13,26563,27893,25750
13,23341,26773,25284
13,25931,25443,27093
13,26568,27330,28266
13,23569,30132,25311
13,22490,25045,23364
13,26715,32159,36359
13,26623,28308,27517
13,25546,26621,27718
13,23508,30050,17940
13,29067,17533,24604
13,24741,25886,26761
13,24236,26600,27913
13,24015,25738,26710
13,24581,28038,27092
13,24429,26308,27483
13,25170,26621,25977
13,24970,26957,26563
13,25008,26642,26759
13,25425,26262,29373
13,25471,26354,28328
13,25261,26606,27751
13,24378,30434,25544
13,33576,28764,32718
13,22147,26878,26180
13,22352,26331,32918
13,26478,24610,23649
13,27920,36367,28378
13,38143,25811,26201
13,23636,25400,26096
13,22493,25369,25086
13,23970,26391,25559
13,24076,25901,26811
13,24077,24158,25665
13,23675,27522,27752
13,23615,26716,27054
13,24353,26178,26669
13,24764,26502,27514
13,25484,26166,27276
13,25432,27234,26488
13,24497,25616,25775
13,24916,26858,26180
13,27935,25437,29123
13,24600,27642,26916
13,24152,27129,26451
13,30305,26559,19962
13,27406,55895,26311
13,26338,27377,27419
13,25828,27698,26115
13,25863,28099,26834
13,25209,27307,25441
13,25306,27248,25140
13,25216,27486,27252
13,25976,27307,27355
13,25549,27034,27258
15,32749,35099,34118
15,32762,34150,33920
15,31761,32819,37392
15,31235,35024,33018
15,31282,34812,31967
15,31792,34579,233120
15,33015,38847,33280
15,31312,34561,33512
15,31862,34300,33911
15,30762,33419,33204
15,31285,33441,34242
15,31795,33527,34491
15,31188,33081,33144
15,31260,33740,34078
15,30900,33249,32471
15,31790,32243,33326
15,31771,33118,33880
15,29972,33924,32085
15,30509,33351,31394
15,30534,32548,34411
15,29967,34494,31068
15,31274,31942,32592
15,31138,34041,31448
15,31212,33920,32352
15,30589,33002,32662
15,29334,34078,33775
15,31331,33130,33016
15,29633,32005,27182
15,29886,32756,32585
15,20946,32520,22353
15,29938,22924,31516
15,30140,31006,23663
15,25552,22630,32325
15,29917,31258,31359
15,30003,31962,32543
15,29667,32196,32422
15,31149,32117,33936
15,31675,33811,32845
15,31169,33855,32840
15,27505,34237,30964
15,31412,31614,33102
15,31071,33944,33125
15,32159,33653,33452
15,31337,32605,35113
15,31855,32982,33287
15,32038,32197,33250
15,32320,34302,35274
15,32748,33501,33387
15,32172,33660,33952
15,32374,34587,38295
15,30380,34366,32725
15,39052,31493,41577
15,30204,31244,31296
15,30350,32258,33154
15,29724,32349,31646
15,29689,31948,31801
15,30040,33160,31481
15,29663,31668,32686
15,30292,33315,31892
15,30344,32792,32062
15,30245,30952,32130
15,30329,32119,32291
15,30167,31527,31577
15,29824,31731,31283
15,57053,32273,36475
15,76374,31977,37071
15,31205,30677,33608
15,29462,32314,32130
15,30963,33587,32902
15,30200,33176,32790
15,31669,31441,30869
15,30023,30645,34543
15,36830,29039,33679
15,30313,31221,31432
15,29844,32104,29084
15,41724,29916,38332
15,32578,33883,33482
15,30345,32316,38533
15,30649,31765,32871
15,29935,31298,32291
15,29033,31852,31903
15,30461,33018,32733
15,30181,33810,33688
15,30032,33128,31780
15,30180,31773,32505
15,27601,33711,31124
15,29189,29208,32984
15,49917,57639,32304
15,29998,32164,32600
15,29814,33690,33247
15,36201,33776,35795
15,39577,33601,33147
15,37133,40121,38399
15,31796,36771,42285
15,30743,36962,33505
15,29845,32649,32158
15,30200,31586,41197
15,231340,37859,59457
15,52361,45920,72781
15,42406,59501,41597
17,51633,55488,45557
17,41474,43638,98177
17,41787,44984,44564
17,40790,43782,43913
17,38777,41970,39101
17,40223,41658,39966
17,43027,42238,47417
17,42860,45385,36654
17,32678,34209,41137
17,34907,38061,64778
17,45849,55824,54002
17,175083,52487,52139
17,71468,50746,71958
17,46287,46478,55253
17,45929,50430,50620
17,48288,45601,61119
17,39836,42030,38929
17,39703,40072,41131
17,39853,41511,41794
17,40573,44150,40574
17,37570,39684,41930
17,42669,41742,40706
17,39835,42433,41091
17,38844,41619,41254
17,37081,40990,40515
17,37906,42749,41411
17,36474,39747,41226
17,39230,40127,40248
17,166357,42235,52764
17,45716,45039,106865
17,45849,51334,47517
17,53782,44967,43531
17,40480,43481,43253
17,38820,44233,40799
17,39740,43610,46512
17,41800,44763,51911
17,42571,51948,43720
17,42330,43370,43671
17,40922,44792,66684
17,39694,45117,43202
17,43884,39747,42878
17,42978,42339,40554
