vertices,nanoseconds_sorted,nanoseconds_random,nanoseconds_inverted
9,9447,10551,10447
9,9619,9949,10252
9,9912,10454,10438
9,9494,10178,10138
9,9551,10091,10924
9,9658,10276,10277
9,9676,9876,10440
9,9486,10161,10490
9,9614,10551,10367
9,9347,10678,10300
9,9424,10610,10441
9,9327,10778,10386
9,9684,10318,10225
9,9474,10709,10298
9,9587,11034,10490
9,9392,10173,10288
9,9756,11043,10860
9,9795,10773,10286
9,9544,10700,10938
9,9576,10999,10455
9,9621,10507,10287
9,9640,10492,10603
9,9723,10660,10880
9,9521,11068,10472
9,9573,10030,10513
9,9640,10201,10308
9,9612,10649,10894
9,9593,10920,10337
9,9799,10738,10495
9,9658,10262,10274
9,9490,10442,10264
9,9410,11073,10348
9,9374,10682,10204
9,9678,10582,10102
9,9443,10349,10680
9,9544,10370,10362
9,9545,10105,10418
9,9469,10026,11098
9,9492,10027,10553
9,9348,10806,10543
9,9488,10320,10424
9,9625,10123,10271
9,9901,10363,10380
9,9570,10020,10603
9,9517,10512,10207
9,9601,10440,10267
9,9591,10614,10274
9,9760,10599,10337
9,9631,10799,10243
11,13177,14521,15231
11,12984,13915,14014
11,12746,14272,13747
11,12705,14244,14580
11,12612,13753,13419
11,12506,13782,13917
11,12312,14376,13799
11,12441,13981,14092
11,12483,14292,14479
11,12770,14121,13989
11,12536,14224,14167
11,12757,14088,14503
11,12557,13714,13823
11,16179,79279,42891
11,18517,16981,20265
11,27885,20926,33746
11,26717,32614,21130
11,19302,21594,21155
11,19156,21481,27080
11,19406,21986,22817
11,20110,21769,20110
11,20200,21465,21025
11,20068,21766,22216
11,20597,20763,21260
11,19959,21211,22281
11,24781,20987,24482
11,25142,25584,19644
11,19846,19447,21741
11,20655,22147,20421
11,21835,21380,21030
11,19786,23535,22471
11,20430,20315,20770
11,20046,21647,22934
11,20005,22283,22446
11,20489,22049,22056
11,19689,21540,19110
11,18586,20880,20297
11,51437,21344,21837
11,19760,14765,22734
11,18189,20824,19968
11,19420,21156,20404
11,18959,19608,21517
11,36449,20399,21985
11,20734,23936,21476
11,20143,20957,21919
11,20478,21684,21734
11,20384,22662,20540
11,41219,22699,21102
11,18454,22105,30097
11,19439,25043,20062
11,19735,25553,20671
11,28810,20994,19212
11,20889,23405,23538
11,19380,22204,22577
11,19421,21257,23282
11,13066,21799,17713
11,21682,32464,20720
11,18576,24855,20763
11,19788,20421,21494
11,19658,21817,23881
11,18070,20667,20442
11,18950,19940,26376
11,18024,18634,38118
11,19714,19885,23265
11,17826,20040,32421
11,19022,26549,19596
11,20492,21710,21072
11,18316,19864,20656
11,19279,20055,19359
11,18494,19807,18897
11,20416,38307,22765
11,19705,17932,21130
11,19640,21155,14880
11,22130,14544,14112
11,19773,21006,20970
11,17759,21373,20244
11,18110,19521,18642
11,19088,21326,36521
11,21372,36826,23458
11,13354,20673,17645
11,18966,14907,14233
11,18427,20185,26661
11,19780,26198,21155
11,18980,27325,20611
11,19175,22913,19603
11,27068,21483,20789
11,20912,20652,21739
11,19098,20520,23457
11,18696,19884,22398
11,19690,20328,20863
11,19905,21257,21534
11,19806,20196,21325
11,19127,20518,29457
11,27303,21475,22759
11,17914,21330,19940
11,18151,19348,19244
11,18049,19164,18952
11,18277,19676,19087
11,18580,19845,20666
11,37411,18788,19468
13,17842,26608,19555
13,17068,18785,18402
13,16443,18154,18494
13,16138,18513,18303
13,16170,17735,17594
13,15968,17281,18145
13,16240,18268,18320
13,16002,18211,18675
13,16071,18007,18135
13,16059,17933,17818
13,15828,16906,17566
13,15861,17877,18477
13,16177,18538,17615
13,15861,18304,17779
13,16024,17783,17963
13,15934,17402,17987
13,16046,18448,18358
13,16116,18464,18140
13,15817,17377,17556
13,16152,17888,17541
13,15713,18124,17863
13,16249,18620,17752
13,16010,17216,18255
13,15974,17344,17522
13,15817,18043,17946
13,16086,18128,18240
13,16108,18172,18039
13,15825,18114,18267
13,16162,17564,17628
13,16204,18089,17944
13,25764,17858,29484
13,27031,29043,27982
13,26623,29053,28287
13,27157,28955,28440
13,23235,28206,26039
13,26107,31627,27383
13,25381,24714,27795
13,24875,27660,26491
13,25200,28163,112476
13,25719,27099,30649
13,26497,26911,27777
13,24205,25398,27481
13,24630,25401,27200
13,24927,27460,24867
13,22654,24748,26016
13,25101,34178,26755
13,24691,26744,27325
13,24480,24958,29069
13,25320,26178,25629
13,22936,27320,27268
13,27296,25638,22459
13,24652,26690,36881
13,24365,27108,26310
13,28696,25484,26188
13,24242,34603,26415
13,23799,25146,26003
13,24772,26160,24455
13,25168,26784,27077
13,25171,26107,26283
13,33892,27474,24655
13,24941,25438,32405
13,24425,25470,26491
13,24525,25927,27593
13,22669,33683,27462
13,25226,25433,28507
13,24665,24399,26794
13,27719,34080,27862
13,24297,25540,26290
13,33234,26875,26713
13,23977,32466,27848
13,24549,24679,28360
13,24062,26210,26237
13,25044,26236,33436
13,23794,25523,27114
13,25119,25972,27148
13,25209,26976,27876
13,24924,27581,27405
13,22255,28396,25091
13,24266,26849,26838
13,24795,27930,28485
13,23409,27245,25886
13,25840,26290,27820
13,26476,27693,28681
13,26374,27843,29172
13,26598,28291,28454
13,26394,26543,27333
13,26028,27540,28295
13,26636,27032,27747
13,25851,28720,27840
13,26308,27618,27604
13,26079,28694,29075
13,26062,28416,28267
13,26262,27267,27706
13,25958,28638,27271
13,25782,28673,28207
13,25737,27449,27602
13,26274,28088,27200
13,25621,27735,28272
13,25971,28269,27418
13,26091,27561,27524
15,33582,35356,35599
15,32679,34175,34058
15,37760,36801,34436
15,32845,34740,35031
15,31442,33933,33870
15,33380,35537,34812
15,33553,34875,35143
15,34320,36711,35899
15,33179,34590,35914
15,31992,34471,34996
15,32036,34385,33944
15,33440,35254,34467
15,32611,34237,34552
15,33292,34129,34351
15,32750,34401,35588
15,39162,31118,33321
15,32367,36809,31471
15,31230,33453,31554
15,29569,33525,32509
15,30937,32838,32940
15,32212,33150,35274
15,32452,33593,33517
15,35873,25639,22412
15,30599,40442,32916
15,28920,33754,30786
15,30693,33230,31881
15,31571,33479,32867
15,43171,33041,34370
15,31986,34264,36944
15,31560,33874,33849
15,31318,33234,35058
15,31981,32988,33477
15,40873,34007,34908
15,32969,39547,33677
15,31677,35040,35658
15,30094,35801,35211
15,31667,33186,36681
15,31657,33469,32804
15,31734,33478,34468
15,30400,33084,31600
15,30713,30828,30761
15,31269,33417,32003
15,30872,32694,31471
15,28146,31929,32143
15,30737,35361,39665
15,31830,31260,34310
15,30731,34137,32323
15,31171,34206,34335
15,30912,32235,32457
15,30821,34279,33651
15,30640,32910,34640
15,31560,33150,34074
15,30296,29622,35723
15,31903,33316,33776
15,32057,33350,34455
15,30500,32430,32597
15,31501,33438,33764
15,30546,32514,32617
15,31162,34132,35571
15,31679,32210,33273
15,30950,32890,32770
15,30578,32578,33716
15,41545,37724,42124
15,40595,36044,35556
15,36426,32966,40931
15,30356,34696,36989
15,30390,31004,32532
15,31399,32348,34551
15,37411,35423,33738
15,37131,37240,40561
15,29617,32839,34037
15,30500,31559,42894
15,32338,32151,35984
15,32795,35373,32994
15,32372,34236,33948
15,31799,33604,32719
15,30259,32776,34219
15,35588,33929,41372
15,35118,39655,34485
15,34325,32638,38278
15,33678,35668,36152
15,32330,35389,34753
15,32887,35857,35907
15,33353,38444,35126
15,33102,33773,35085
15,31946,36403,34443
15,33989,34601,35950
15,34154,36724,35040
15,32856,36357,35386
15,32418,38079,35323
15,32974,36337,36278
15,33121,35344,33852
15,33563,34933,37393
15,33275,33647,34078
15,33306,67727,37657
15,33600,32120,37265
15,35632,32876,33591
15,32784,34985,34300
15,29822,34991,33554
15,33312,34504,55433
17,42331,44982,107240
17,45783,44504,44483
17,40760,42648,42538
17,39102,44379,53689
17,41512,43274,43766
17,41525,44437,41492
17,41822,42914,45094
17,40847,42907,44168
17,42465,42718,44309
17,41571,41511,43120
17,54870,42676,41161
17,39439,41968,40884
17,47519,41499,45206
17,39349,45751,44027
17,42702,43789,44705
17,39415,45185,43252
17,40056,41602,42616
17,41124,42292,44191
17,39785,47087,48487
17,45371,33358,43342
17,40025,42550,43544
17,39132,41617,40173
17,38933,42419,42303
17,38648,40915,41614
17,38500,40552,40547
17,39266,42593,41415
17,38952,51601,41405
17,39138,42835,42590
17,40385,44624,40638
17,48789,43804,50784
17,56020,319788,86173
17,56964,54420,56668
17,53810,63512,65082
17,49755,51360,54755
17,49874,55879,52489
17,53584,52175,57395
17,46644,48719,56181
17,50178,59481,56067
17,41159,3.41602e+06,48474
17,40393,41749,40950
17,42068,40124,194106
17,44705,41711,41706
17,39031,41527,39493
17,42180,40836,44066
17,39600,42230,43225
17,96194,39738,52341
17,56502,1.45174e+06,50074
17,62355,49157,46116
17,46775,52917,49258
17,47852,47491,48703
17,46614,45589,46827
17,41400,47895,46531
17,51682,56948,53740
17,38251,42216,41565
17,39562,40936,39309
17,38149,40385,40012
17,38302,39100,48427
17,169519,40446,40464
17,65838,44423,43521
17,40020,48032,45115
17,39970,42009,69707
17,38764,41095,42528
17,41524,40307,40568
17,38520,113163,38718
17,40887,62820,44196
17,44231,45294,49462
17,39580,43803,45615
17,39052,39713,40773
17,37904,42311,41338
17,42423,44056,62433
17,38296,41416,42224
17,44462,42637,50100
17,43867,46875,42927
17,40656,44473,46372
17,42862,44244,42332
17,43029,49865,44904
17,41624,42471,53638
17,53100,1.9625e+06,227073
17,46988,89645,54717
17,59202,972170,99397
17,55961,60172,43624
17,44354,54687,45322
17,46375,49594,49117
17,40240,46030,55262
17,99900,42468,52399
17,56943,43817,50005
17,42155,45094,51142
17,46121,48978,47475
17,49227,45664,49850
17,50039,53216,2.6576e+06
17,47365,47658,44037
17,48467,45075,52435
17,41767,46944,46117
17,41777,43703,44153
17,48733,43506,38810
17,45178,49835,42830
17,49237,46766,42506
17,44703,50127,54734
17,41633,52148,44700
17,45594,52394,46421
19,74851,60920,67584
19,52956,60291,57621
19,47313,56161,55318
19,51029,52651,74508
19,61834,112574,49828
19,103634,1.09688e+06,96991
19,111220,83945,107642
19,65512,107981,87256
19,48447,56899,55231
19,49625,51741,53516
19,49559,54512,54007
19,49352,358340,51127
19,48886,49220,51479
19,47026,48760,52735
19,46752,50599,49359
19,50503,51915,49121
19,60794,106159,55418
