clients,factories,routes,nanoseconds
51,49,107,70450
51,49,107,68774
51,49,107,66997
51,49,107,72867
51,49,107,69045
51,49,107,67465
51,49,107,101742
51,49,107,97677
51,49,107,144493
51,49,107,81348
51,49,107,73055
51,49,107,71240
51,49,107,71321
51,49,107,82370
51,49,107,70131
51,49,107,71476
51,49,107,66840
51,49,107,72745
51,49,107,71755
51,49,107,71512
51,49,107,79681
51,49,107,66093
51,49,107,73739
51,49,107,71952
51,49,107,70137
51,49,107,71493
51,49,107,74817
51,49,107,70994
51,49,107,68575
51,49,107,66939
51,49,107,68812
51,49,107,82521
51,49,107,66020
51,49,107,127418
51,49,107,93387
51,49,107,45862
51,49,107,69111
51,49,107,46079
51,49,107,44914
51,49,107,69777
51,49,107,367212
51,49,107,85544
51,49,107,172867
51,49,107,95357
51,49,107,51945
51,49,107,44825
51,49,107,67689
51,49,108,91006
51,49,108,49903
51,49,108,72858
51,49,108,79933
51,49,108,68783
51,49,108,70107
51,49,108,66462
51,49,108,75056
51,49,108,72130
51,49,108,86276
51,49,108,52560
51,49,108,78552
51,49,108,116340
51,49,108,988622
51,49,108,91654
51,49,108,82819
51,49,108,80298
51,49,108,88089
51,49,108,79598
51,49,108,73324
51,49,108,70365
51,49,108,93802
51,49,108,81150
51,49,108,73168
51,49,108,72290
51,49,108,70073
51,49,108,72400
51,49,108,67272
51,49,108,93649
51,49,108,73676
51,49,108,69849
51,49,108,98530
51,49,108,72475
51,49,108,71605
51,49,108,71130
51,49,108,220037
51,49,108,69255
51,49,108,72810
51,49,108,68038
51,49,108,72916
51,49,108,74030
51,49,108,69386
51,49,108,64354
51,49,108,63433
51,49,108,88939
51,49,108,89904
51,49,108,82562
51,49,108,70415
51,49,108,69463
51,49,108,84481
51,49,109,104755
51,49,109,81130
51,49,109,68381
51,49,109,70639
51,49,109,88045
51,49,109,360864
51,49,109,80073
51,49,109,80832
51,49,109,67445
51,49,109,88578
51,49,109,83958
51,49,109,105260
51,49,109,91769
51,49,109,80838
51,49,109,85162
51,49,109,803299
51,49,109,85889
51,49,109,84954
51,49,109,634151
51,49,109,98376
51,49,109,74961
51,49,109,86809
51,49,109,264238
51,49,109,113857
51,49,109,88021
51,49,109,86461
51,49,109,83262
51,49,109,81318
51,49,109,84526
51,49,109,82132
51,49,109,84295
51,49,109,84667
51,49,109,85158
51,49,109,65472
51,49,109,76617
51,49,109,83787
51,49,109,83225
51,49,109,78581
51,49,109,76280
51,49,109,75557
51,49,109,89086
51,49,109,81150
51,49,109,81665
51,49,109,98478
51,49,109,80615
51,49,109,93052
51,49,109,90170
51,49,109,114344
51,49,109,81991
51,49,109,77241
51,49,110,81851
51,49,110,141611
51,49,110,68126
51,49,110,76382
51,49,110,96307
51,49,110,98922
51,49,110,324933
51,49,110,1.01245e+06
51,49,110,98073
51,49,110,80774
51,49,110,80813
51,49,110,147477
51,49,110,77590
51,49,110,76616
51,49,110,82741
51,49,110,1.20932e+06
51,49,110,324418
51,49,110,84374
51,49,110,88556
51,49,110,77135
51,49,110,129137
51,49,110,70640
51,49,110,70770
51,49,110,68814
51,49,110,70693
51,49,110,69390
51,49,110,69892
51,49,110,71199
51,49,110,69333
51,49,110,67721
51,49,110,72803
51,49,110,72813
51,49,110,67706
51,49,110,71661
