modo;vertices;aristas;duracion;densidad
arreglo;100;204;1863160;0.0412121212121
cola;100;204;487704;0.0412121212121
arreglo;100;204;1815220;0.0412121212121
cola;100;204;479324;0.0412121212121
arreglo;100;204;1826772;0.0412121212121
cola;100;204;488988;0.0412121212121
arreglo;100;204;1820444;0.0412121212121
cola;100;204;490120;0.0412121212121
arreglo;100;204;1815356;0.0412121212121
cola;100;204;519532;0.0412121212121
arreglo;100;204;1818928;0.0412121212121
cola;100;204;493520;0.0412121212121
arreglo;100;204;1823108;0.0412121212121
cola;100;204;480464;0.0412121212121
arreglo;100;204;1895568;0.0412121212121
cola;100;204;517580;0.0412121212121
arreglo;100;204;1825580;0.0412121212121
cola;100;204;487804;0.0412121212121
arreglo;100;204;1867688;0.0412121212121
cola;100;204;489016;0.0412121212121
arreglo;100;204;1815740;0.0412121212121
cola;100;204;488052;0.0412121212121
arreglo;100;213;1872788;0.0430303030303
cola;100;213;482844;0.0430303030303
arreglo;100;213;1874580;0.0430303030303
cola;100;213;465468;0.0430303030303
arreglo;100;213;1837932;0.0430303030303
cola;100;213;490732;0.0430303030303
arreglo;100;213;1835396;0.0430303030303
cola;100;213;482496;0.0430303030303
arreglo;100;213;1830088;0.0430303030303
cola;100;213;463720;0.0430303030303
arreglo;100;213;1831872;0.0430303030303
cola;100;213;484148;0.0430303030303
arreglo;100;213;1855544;0.0430303030303
cola;100;213;483328;0.0430303030303
arreglo;100;213;1862556;0.0430303030303
cola;100;213;469640;0.0430303030303
arreglo;100;213;1870420;0.0430303030303
cola;100;213;481884;0.0430303030303
arreglo;100;213;1860524;0.0430303030303
cola;100;213;485948;0.0430303030303
arreglo;100;213;1867636;0.0430303030303
cola;100;213;481440;0.0430303030303
arreglo;100;227;1847344;0.0458585858586
cola;100;227;541976;0.0458585858586
arreglo;100;227;1842096;0.0458585858586
cola;100;227;478772;0.0458585858586
arreglo;100;227;1954640;0.0458585858586
cola;100;227;526288;0.0458585858586
arreglo;100;227;1897744;0.0458585858586
cola;100;227;499904;0.0458585858586
arreglo;100;227;1876112;0.0458585858586
cola;100;227;497172;0.0458585858586
arreglo;100;227;1980488;0.0458585858586
cola;100;227;497444;0.0458585858586
arreglo;100;227;1852352;0.0458585858586
cola;100;227;497800;0.0458585858586
arreglo;100;227;1842008;0.0458585858586
cola;100;227;497684;0.0458585858586
arreglo;100;227;1839284;0.0458585858586
cola;100;227;498324;0.0458585858586
arreglo;100;227;1844624;0.0458585858586
cola;100;227;482816;0.0458585858586
arreglo;100;227;1846556;0.0458585858586
cola;100;227;497352;0.0458585858586
arreglo;100;230;1906308;0.0464646464646
cola;100;230;514800;0.0464646464646
arreglo;100;230;1853924;0.0464646464646
cola;100;230;519680;0.0464646464646
arreglo;100;230;1854884;0.0464646464646
